"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 28 10:09:16 UTC 2024","Wed Aug 28 10:09:16 UTC 2024","324","","br.ce.wcaquino.rest.tests.MovimentacaoTest","","br.ce.wcaquino.rest.tests.MovimentacaoTest","naoDeveRemoverContaComMovimentacao","Não deve remover conta com movimentação",""
"passed","Wed Aug 28 10:09:18 UTC 2024","Wed Aug 28 10:09:18 UTC 2024","381","","br.ce.wcaquino.rest.tests.SaldoTest","","br.ce.wcaquino.rest.tests.SaldoTest","deveCalcularSaldoContas","Deve calcular saldo contas",""
"passed","Wed Aug 28 10:09:16 UTC 2024","Wed Aug 28 10:09:16 UTC 2024","162","","br.ce.wcaquino.rest.tests.MovimentacaoTest","","br.ce.wcaquino.rest.tests.MovimentacaoTest","deveValidarCamposObrigatoriosMovimentacao","Deve validar campos obrigatórios da movimentação",""
"passed","Wed Aug 28 10:09:16 UTC 2024","Wed Aug 28 10:09:16 UTC 2024","334","","br.ce.wcaquino.rest.tests.MovimentacaoTest","","br.ce.wcaquino.rest.tests.MovimentacaoTest","deveInserirMovimentacaoComSucesso","Deve inserir movimentacao com sucesso",""
"passed","Wed Aug 28 10:09:16 UTC 2024","Wed Aug 28 10:09:17 UTC 2024","320","","br.ce.wcaquino.rest.tests.MovimentacaoTest","","br.ce.wcaquino.rest.tests.MovimentacaoTest","naoDeveInserirMovimentacaoComDataFutura","Não deve inserir movimentação com data futura",""
"passed","Wed Aug 28 10:09:19 UTC 2024","Wed Aug 28 10:09:19 UTC 2024","124","","br.ce.wcaquino.rest.tests.AuthTest","","br.ce.wcaquino.rest.tests.AuthTest","naoDeveAcessarAPISemToken","Não deve acessar o recurso /contas sem token",""
"passed","Wed Aug 28 10:09:17 UTC 2024","Wed Aug 28 10:09:17 UTC 2024","294","","br.ce.wcaquino.rest.tests.MovimentacaoTest","","br.ce.wcaquino.rest.tests.MovimentacaoTest","t10_deveRemoverMovimentacao","Deve remover movimentação",""
"passed","Wed Aug 28 10:09:15 UTC 2024","Wed Aug 28 10:09:15 UTC 2024","168","","br.ce.wcaquino.rest.tests.ContasTest","","br.ce.wcaquino.rest.tests.ContasTest","naoDeveInserirContaMesmoNome","Não deve incluir conta com o mesmo nome",""
"passed","Wed Aug 28 10:09:15 UTC 2024","Wed Aug 28 10:09:15 UTC 2024","150","","br.ce.wcaquino.rest.tests.ContasTest","","br.ce.wcaquino.rest.tests.ContasTest","deveIncluirContaComSucesso","Deve incluir conta com sucesso",""
"passed","Wed Aug 28 10:09:14 UTC 2024","Wed Aug 28 10:09:15 UTC 2024","452","","br.ce.wcaquino.rest.tests.ContasTest","","br.ce.wcaquino.rest.tests.ContasTest","deveAlterarContaComSucesso","Deve alterar conta com sucesso",""
